RecordingId,TrackId,Frame,Distance,XVelocity,YVelocity,XAcceleration,YAcceleration,XCenter,YCenter
28,3,0,25.096885273874133,-16.0265,21.232,-0.446,0.1092,452.1256,-238.0614
28,3,1,25.096885273874133,-16.0452,21.2373,-0.4461,0.1089,451.4852,-237.213
28,3,2,25.096885273874133,-16.0642,21.2428,-0.4459,0.1082,450.8439,-236.364
28,3,3,25.096885273874133,-16.0835,21.2485,-0.4451,0.107,450.2018,-235.5146
28,3,4,25.096885273874133,-16.1031,21.2542,-0.4436,0.1052,449.5588,-234.6649
28,3,5,25.096885273874133,-16.1228,21.2598,-0.4414,0.1029,448.9148,-233.8146
28,5,0,46.17337791628417,-16.1101,21.2636,-0.4778,0.2985,467.5265,-257.8772
28,5,1,46.17337791628417,-16.1301,21.2763,-0.4779,0.2985,466.8827,-257.0272
28,5,2,46.17337791628417,-16.1504,21.2893,-0.4777,0.2981,466.2382,-256.1766
28,5,3,46.17337791628417,-16.171,21.3024,-0.477,0.2972,465.5926,-255.325
28,5,4,46.17337791628417,-16.1919,21.3153,-0.4755,0.2959,464.9461,-254.4725
28,5,5,46.17337791628417,-16.213,21.3282,-0.4733,0.2942,464.2987,-253.6196
28,7,0,34.964447606390124,12.5116,-15.2627,0.695,-0.3042,406.4261,-228.7773
28,7,1,34.964447606390124,12.54,-15.2756,0.6955,-0.3042,406.9261,-229.3871
28,7,2,34.964447606390124,12.5688,-15.2887,0.6957,-0.3039,407.4275,-229.9978
28,7,3,34.964447606390124,12.5979,-15.3021,0.6955,-0.3031,407.93,-230.609
28,7,4,34.964447606390124,12.6273,-15.3156,0.6946,-0.3019,408.4336,-231.2208
28,7,5,34.964447606390124,12.6569,-15.3293,0.6931,-0.3,408.9386,-231.8332
28,7,7,22.560675695554874,12.7166,-15.3566,0.6877,-0.2943,409.9526,-233.0602
28,7,8,22.560675695554874,12.7463,-15.3701,0.6836,-0.2904,410.4619,-233.6747
28,7,9,22.560675695554874,12.7757,-15.3835,0.6787,-0.2858,410.9725,-234.2898
28,7,10,22.560675695554874,12.8048,-15.3966,0.673,-0.2805,411.4844,-234.9054
28,7,11,22.560675695554874,12.8335,-15.4094,0.6666,-0.2746,411.9975,-235.5217
28,7,12,22.560675695554874,12.8618,-15.4219,0.6594,-0.2681,412.5119,-236.1387
